numero,variable,langue,phrase
1,1,français,Je sais qu'une indication nous a amenés à recommander un traitement hier soir.
2,1,français,Je me souviens que le cadeau a côté beaucoup d'argent à la dernière minute .
3,1,français,Le journal a rapporté que le roman a reçu des critiques favorables dans la presse .
4,1,français,Je sais que le tableau a atteint un prix élevé lors d'une vente aux enchères l'année dernière .
5,1,français,Vous vous souvenez que les instructions sont tombées dans le four à notre grand regret. 
6,1,français,Elle m'a dit qu'une allergie l'amène à éviter de sortir au restaurant depuis qu'il était jeune .
7,1,français,Elle sait que la livraison est arrivée vers midi mardi dernier .
8,1,français,Nous nous souvenons tous que le colis s'est perdu dans le courrier pendant la ruée vers les vacances .
9,1,français,Mon ami m'a rapporté que la symphonie a ému ma mère aux larmes hier soir .
10,1,français,J'ai une idée que la pièce m'a bouleversé hier soir. 
11,1,français,Elle peut deviner qu'un avant-propos a affirmé qu'Elvis est toujours en vie pendant le week-end .
12,1,français,Le journal a rapporté qu'un mélange était utilisé pour la vinaigrette à chaque fois qu'elle cuisinait.
13,1,français,Nous rappelons qu'une critique a trouvé un soutien en ligne en fin d'après-midi .
14,1,français,Je me souviens qu'une diatribe a été publiée dans le journal local hier soir.
15,1,français,Notre ami a deviné qu'une photo est apparue dans le journal hier après-midi . 
16,1,français,Le maire m'a dit qu'une photo avait été prise par le correspondant de guerre deux jours après la bataille .
17,1,français,Mon ami se souvient qu'une description n'avait pas été appréciée par l'évÍque il y a plus d'un an .
18,1,français,Le journal a dit que le cadeau avait été importé d'Italie pendant mes vacances .
19,1,français,Notre voisin a dit que l'argument a déchiré leur mariage hier .
20,1,français,Mon ami m'a dit qu'une proposition suggérait d'augmenter les avantages sociaux des employés hier soir .
21,1,français,Elle ne peut pas croire qu'une conférence a eu lieu en ville au printemps dernier .
1,2,français,Je sais que nous a amenés à recommander un traitement hier soir.
2,2,français,Je me souviens qu'a côté beaucoup d'argent à la dernière minute .
3,2,français,Le journal a rapporté qu'a reçu des critiques favorables dans la presse .
4,2,français,Je sais qu'a atteint un prix élevé lors d'une vente aux enchères l'année dernière .
5,2,français,Vous vous souvenez que sont tombées dans le four à notre grand regret .
6,2,français,Elle m'a dit que l'amène à éviter de sortir au restaurant depuis qu'il était jeune .
7,2,français,Elle sait qu' est arrivée vers midi mardi dernier . 
8,2,français,Nous nous souvenons tous que s'est perdu dans le courrier pendant la ruée vers les vacances .
9,2,français,Mon ami m'a rapporté qu'a ému ma mère aux larmes hier soir . 
10,2,français,J'ai une idée que m'a bouleversé hier soir. 
11,2,français,Elle peut deviner qu'a affirmé qu'Elvis est toujours en vie pendant le week-end .
12,2,français,Le journal a rapporté qu'était utilisé pour la vinaigrette à chaque fois qu'elle cuisinait. 
13,2,français,Nous rappelons qu'a trouvé un soutien en ligne en fin d'après-midi .
14,2,français,Je me souviens qu'a été publiée dans le journal local hier soir.
15,2,français,Notre ami a deviné qu'est apparue dans le journal hier après-midi .
16,2,français,Le maire m'a dit qu'avait été prise par le correspondant de guerre deux jours après la bataille .
17,2,français,Mon ami se souvient que n'avait pas été appréciée par l'évÍque il y a plus d'un an .
18,2,français,Le journal a dit qu'avait été importé d'Italie pendant mes vacances .
19,2,français,Notre voisin a dit qu'a déchiré leur mariage hier .
20,2,français,Mon ami m'a dit que suggérait d'augmenter les avantages sociaux des employés hier soir .
21,2,français,Elle ne peut pas croire qu'a eu lieu en ville au printemps dernier .
1,3,français,Je sais ce qu'une indication nous a amenés à recommander un traitement hier soir.
2,3,français,Je me souviens ce que le cadeau a côté beaucoup d'argent à la dernière minute .
3,3,français,Le journal a rapporté ce que le roman a reçu des critiques favorables dans la presse .
4,3,français,Je sais ce que le tableau a atteint un prix élevé lors d'une vente aux enchères l'année dernière .
5,3,français,Vous vous souvenez ce que les instructions sont tombées dans le four à notre grand regret .
6,3,français,Elle m'a dit ce qu'une allergie l'amène à éviter de sortir au restaurant depuis qu'il était jeune .
7,3,français,Elle sait ce que la livraison est arrivée vers midi mardi dernier .
8,3,français,Nous nous souvenons tous ce que le colis s'est perdu dans le courrier pendant la ruée vers les vacances .
9,3,français,Mon ami m'a rapporté ce que la symphonie a ému ma mère aux larmes hier soir .
10,3,français,J'ai une idée sur ce que la pièce m'a bouleversé hier soir. 
11,3,français,Elle peut deviner ce qu'un avant-propos a affirmé qu'Elvis est toujours en vie pendant le week-end .
12,3,français,Le journal a rapporté ce qu'un mélange était utilisé pour la vinaigrette à chaque fois qu'elle cuisinait. 
13,3,français,Nous rappelons ce qu'une critique a trouvé un soutien en ligne en fin d'après-midi .
14,3,français,Je me souviens ce qu'une diatribe a été publiée dans le journal local hier soir.
15,3,français,Notre ami a deviné ce qu'une photo est apparue dans le journal hier après-midi . 
16,3,français,Le maire m'a dit ce qu'une photo avait été prise par le correspondant de guerre deux jours après la bataille .
17,3,français,Mon ami se souvient ce qu'une description n'avait pas été appréciée par l'évÍque il y a plus d'un an .
18,3,français,Le journal a dit ce que le cadeau avait été importé d'Italie pendant mes vacances .
19,3,français,Notre voisin a dit ce que l'argument a déchiré leur mariage hier .
20,3,français,Mon ami m'a dit ce qu'une proposition suggérait d'augmenter les avantages sociaux des employés hier soir .
21,3,français,Elle ne peut pas croire ce qu'une conférence a eu lieu en ville au printemps dernier .
1,4,français,Je sais ce que nous a amenés à recommander un traitement hier soir.
