numero,variable,langue,phrase
1,1,français,Je sais que tes larmes ont signalé une indication la nuit dernière .
2,1,français,Je me souviens que nous avons tous contribué pour acheter le cadeau à la dernière minute .
3,1,français,Le journal a rapporté que les critiques ont revu le roman dans la presse .
4,1,français,Je sais que la famille a acheté le tableau l'année dernière .
5,1,français,Vous vous souvenez que l'espion a vendu les instructions à notre grand regret .
6,1,français,Elle m'a dit qu'il a eu une allergie depuis qu'il était jeune . 
7,1,français,Elle sait que le portier a accepté la livraison mardi dernier .
8,1,français,Nous nous souvenons tous que le facteur a perdu le colis dans la ruée des vacances . 
9,1,français,Mon ami m'a rapporté que nous avons écouté la symphonie hier soir . 
10,1,français,J'ai une idée à propos que j'ai vu la pièce hier soir .
11,1,français,Elle peut deviner que mon ami a écrit un avant-propos pendant le week-end .
12,1,français,Le journal a rapporté qu'elle préparait la vinaigrette à partir d'un mélange à chaque fois qu'elle cuisinait .
13,1,français,Nous rappelons que le blogueur a rédigé une critique en fin d'après-midi .
14,1,français,Je me souviens que le politicien a écrit une diatribe hier soir .
15,1,français,Notre ami a deviné que nous avons vu une photo hier après-midi .
16,1,français,Le maire m'a dit que les journaux ont imprimé une photo deux jours après la bataille .
17,1,français,Mon ami se souvient que le moine a rédigé une description il y a plus d'un an .  
18,1,français,Le journal a dit que j'ai choisi le cadeau pendant mes vacances .  
19,1,français,Notre voisine a dit qu'elle a gagné l'argument hier .
20,1,français,Mon ami m'a dit qu'il a écrit une proposition hier soir .
21,1,français,Elle ne peut pas croire que nous avons assisté à une conférence au printemps dernier .
1,2,français,Je sais que tes larmes ont signalé hier soir .
2,2,français,Je me souviens que nous avons tous contribué pour acheter à la dernière minute .
3,2,français,Le journal a rapporté que les critiques ont revu dans la presse .
4,2,français,Je sais que la famille a acheté l'année dernière .
5,2,français,Vous vous souvenez que l'espion a vendu à notre grand regret .
6,2,français,Elle m'a dit qu'il a eu depuis qu'il était jeune . 
7,2,français,Elle sait que le portier a accepté mardi dernier .
8,2,français,Nous nous souvenons tous que le facteur a perdu dans la ruée des vacances . 
9,2,français,Mon ami m'a rapporté que nous avons écouté hier soir . 
10,2,français,J'ai une idée à propos que j'ai vu hier soir .
11,2,français,Elle peut deviner que mon ami a écrit pendant le week-end .
12,2,français,Le journal a rapporté qu'elle préparait la vinaigrette à partir à chaque fois qu'elle cuisinait .
13,2,français,Nous rappelons que le blogueur a rédigé en fin d'après-midi .
14,2,français,Je me souviens que le politicien a écrit hier soir .
15,2,français,Notre ami a deviné que nous avons vu hier après-midi .
16,2,français,Le maire m'a dit que les journaux ont imprimé deux jours après la bataille .
17,2,français,Mon ami se souvient que le moine a rédigé il y a plus d'un an .  
18,2,français,Le journal a dit que j'ai choisi pendant mes vacances . 
19,2,français,Notre voisine a dit qu'elle a gagné hier .
20,2,français,Mon ami m'a dit qu'il a écrit hier soir .
21,2,français,Elle ne peut pas croire que nous avons assisté au printemps dernier .
1,3,français,Je sais ce que tes larmes ont signalé une indication hier soir .
2,3,français,Je me souviens ce que nous avons tous contribué pour acheter le cadeau à la dernière minute .
3,3,français,Le journal a rapporté ce que les critiques ont revu le roman dans la presse .
4,3,français,Je sais ce que la famille a acheté le tableau l'année dernière .
5,3,français,Vous vous souvenez ce que l'espion a vendu les instructions à notre grand regret .
6,3,français,Elle m'a dit ce qu'il a eu une allergie depuis qu'il était jeune . 
7,3,français,Elle sait ce que le portier a accepté la livraison mardi dernier .
8,3,français,Nous nous souvenons tous ce que le facteur a perdu le colis dans la ruée des vacances . 
9,3,français,Mon ami m'a rapporté ce que nous avons écouté la symphonie hier soir . 
10,3,français,J'ai une idée à propos de ce que j'ai vu la pièce hier soir .
11,3,français,Elle peut deviner ce que mon ami a écrit un avant-propos pendant le week-end .
12,3,français,Le journal a rapporté ce qu'elle préparait la vinaigrette à partir d'un mélange à chaque fois qu'elle cuisinait .  
13,3,français,Nous rappelons ce que le blogueur a rédigé une critique en fin d'après-midi .
14,3,français,Je me souviens ce que le politicien a écrit une diatribe hier soir .
15,3,français,Notre ami a deviné ce que nous avons vu une photo hier après-midi .
16,3,français,Le maire m'a dit ce que les journaux ont imprimé une photo deux jours après la bataille .
17,3,français,Mon ami se souvient ce que le moine a rédigé une description il y a plus d'un an . 
18,3,français,Le journal a dit ce que j'ai choisi le cadeau pendant mes vacances .   
19,3,français,Notre voisine a dit ce qu'elle a gagné l'argument hier .
20,3,français,Mon ami m'a dit ce qu'il a écrit une proposition hier soir .
21,3,français,Elle ne peut pas croire ce que nous avons assisté à une conférence au printemps dernier .
1,4,français,Je sais ce que tes larmes ont signalé hier soir .
2,4,français,Je me souviens ce que nous avons tous contribué pour acheter à la dernière minute .
3,4,français,Le journal a rapporté ce que les critiques ont revu dans la presse .
4,4,français,Je sais ce que la famille a acheté l'année dernière .
5,4,français,Vous vous souvenez ce que l'espion a vendu à notre grand regret .
6,4,français,Elle m'a dit ce qu'il a eu depuis qu'il était jeune . 
7,4,français,Elle sait ce que le portier a accepté mardi dernier .
8,4,français,Nous nous souvenons tous ce que le facteur a perdu dans la ruée des vacances . 
9,4,français,Mon ami m'a rapporté ce que nous avons écouté hier soir . 
10,4,français,J'ai une idée à propos de ce que j'ai vu hier soir .
11,4,français,Elle peut deviner ce que mon ami a écrit pendant le week-end .
12,4,français,Le journal a rapporté ce qu'elle préparait la vinaigrette à partir à chaque fois qu'elle cuisinait . 
13,4,français,Nous rappelons ce que le blogueur a rédigé en fin d'après-midi .
14,4,français,Je me souviens ce que le politicien a écrit hier soir .
15,4,français,Notre ami a deviné ce que nous avons vu hier après-midi .
16,4,français,Le maire m'a dit ce que les journaux ont imprimé deux jours après la bataille .
17,4,français,Mon ami se souvient ce que le moine a rédigé il y a plus d'un an . 
18,4,français,Le journal a dit ce que j'ai choisi pendant mes vacances .
19,4,français,Notre voisine a dit ce qu'elle a gagné hier .
20,4,français,Mon ami m'a dit qu'il a écrit une proposition hier soir .
21,4,français,Elle ne peut pas croire ce que nous avons assisté au printemps dernier .
1,5,français,Je sais que tes larmes ont signalé une indication ce qui a signalé une dépression hier soir .
2,5,français,Je me souviens que nous avons tous contribué pour acheter le cadeau lequel nous avons offert à Mary à la dernière minute .
3,5,français,Le journal a rapporté que les critiques ont revu le roman qui a provoqué le célèbre auteur dans la presse .
4,5,français,Je sais que la famille a acheté le tableau qui est représenté Monet l'année dernière .
5,5,français,Vous vous souvenez que l'espion a vendu les instructions qui montraient comment utiliser le sous-marin à notre grand regret .
6,5,français,Elle m'a dit qu'il a eu une allergie qui est causée par les cacahuètes depuis qu'il était jeune . 
7,5,français,Elle sait que le portier a accepté la livraison ce qui a choqué Sarah mardi dernier .
8,5,français,Nous nous souvenons tous que le facteur a perdu le colis ce que Sarah a décrit à Robert dans la ruée des vacances . 
9,5,français,Mon ami m'a rapporté que nous avons écouté la symphonie laquelle était dédiée à Mozart hier soir . 
10,5,français,J'ai une idée à propos que j'ai vu la pièce ce qui a ravi le comédien amateur hier soir .
