numero,variable,region,model,langue,surprisal
1,1,1,BERT,Anglais,0.44730710983276367
1,1,2,BERT,Anglais,3.3632054328918457
1,1,3,BERT,Anglais,0.9265446662902832
1,1,7,BERT,Anglais,10.217042922973633
1,1,8,BERT,Anglais,23.59740447998047
1,1,9,BERT,Anglais,4.115765571594238
1,1,10,BERT,Anglais,14.524418830871582
1,2,1,BERT,Anglais,0.6481379270553589
1,2,2,BERT,Anglais,3.9091708660125732
1,2,3,BERT,Anglais,6.5008544921875
1,2,7,BERT,Anglais,14.636696815490723
1,2,8,BERT,Anglais,22.406150817871094
1,2,10,BERT,Anglais,16.03696632385254
1,3,1,BERT,Anglais,2.872187376022339
1,3,2,BERT,Anglais,4.67883825302124
1,3,3,BERT,Anglais,9.75748348236084
1,3,7,BERT,Anglais,9.977519989013672
1,3,8,BERT,Anglais,25.630779266357422
1,3,9,BERT,Anglais,9.613116264343262
1,3,10,BERT,Anglais,11.787111282348633
1,4,1,BERT,Anglais,1.3359713554382324
1,4,2,BERT,Anglais,4.886664867401123
1,4,3,BERT,Anglais,0.23978756368160248
1,4,7,BERT,Anglais,12.669926643371582
1,4,8,BERT,Anglais,22.139404296875
1,4,10,BERT,Anglais,13.494577407836914
1,5,1,BERT,Anglais,0.37973979115486145
1,5,2,BERT,Anglais,4.766587257385254
1,5,3,BERT,Anglais,1.4740914106369019
1,5,4,BERT,Anglais,5.379513740539551
1,5,5,BERT,Anglais,1.5005477666854858
1,5,6,BERT,Anglais,0.025811605155467987
1,5,7,BERT,Anglais,8.525226593017578
1,5,8,BERT,Anglais,23.368070602416992
1,5,9,BERT,Anglais,3.2061235904693604
1,5,10,BERT,Anglais,13.85120677947998
1,6,1,BERT,Anglais,0.3968599736690521
1,6,2,BERT,Anglais,4.900656700134277
1,6,3,BERT,Anglais,1.3549919128417969
1,6,4,BERT,Anglais,5.193027019500732
1,6,5,BERT,Anglais,1.8354740142822266
1,6,6,BERT,Anglais,0.3086412250995636
1,6,7,BERT,Anglais,11.65730094909668
1,6,8,BERT,Anglais,22.459577560424805
1,6,10,BERT,Anglais,14.511445045471191
1,7,1,BERT,Anglais,3.446885347366333
1,7,2,BERT,Anglais,8.083345413208008
1,7,3,BERT,Anglais,7.241898059844971
1,7,4,BERT,Anglais,4.881412029266357
1,7,5,BERT,Anglais,0.7163473963737488
1,7,6,BERT,Anglais,7.924826622009277
1,7,7,BERT,Anglais,8.98673152923584
1,7,8,BERT,Anglais,22.16864013671875
1,7,9,BERT,Anglais,3.6978228092193604
1,7,10,BERT,Anglais,13.856973648071289
1,8,1,BERT,Anglais,2.605544090270996
1,8,2,BERT,Anglais,6.683526515960693
1,8,3,BERT,Anglais,2.470355987548828
1,8,4,BERT,Anglais,4.376286506652832
1,8,5,BERT,Anglais,4.842020034790039
1,8,6,BERT,Anglais,2.721278667449951
1,8,7,BERT,Anglais,10.470191955566406
1,8,8,BERT,Anglais,19.497365951538086
1,8,10,BERT,Anglais,13.041423797607422
2,1,1,BERT,Anglais,5.257792949676514
2,1,2,BERT,Anglais,0.09087014198303223
2,1,3,BERT,Anglais,0.09882199019193649
2,1,7,BERT,Anglais,3.2129709720611572
2,1,8,BERT,Anglais,7.3534979820251465
2,1,9,BERT,Anglais,2.8062937259674072
2,1,10,BERT,Anglais,0.022489910945296288
2,2,1,BERT,Anglais,5.669476509094238
2,2,2,BERT,Anglais,0.12479341775178909
2,2,3,BERT,Anglais,4.619392395019531
2,2,7,BERT,Anglais,7.42293119430542
2,2,8,BERT,Anglais,17.2681827545166
2,2,10,BERT,Anglais,0.03760815039277077
2,3,1,BERT,Anglais,6.134106636047363
2,3,2,BERT,Anglais,0.2709066569805145
2,3,3,BERT,Anglais,12.57580280303955
2,3,7,BERT,Anglais,4.137235641479492
2,3,8,BERT,Anglais,8.305108070373535
2,3,9,BERT,Anglais,3.468867063522339
2,3,10,BERT,Anglais,0.042374152690172195
2,4,1,BERT,Anglais,6.918274879455566
2,4,2,BERT,Anglais,0.23994851112365723
2,4,3,BERT,Anglais,6.520909309387207
2,4,7,BERT,Anglais,4.794798374176025
2,4,8,BERT,Anglais,10.84821605682373
2,4,10,BERT,Anglais,0.021526847034692764
2,5,1,BERT,Anglais,4.1560187339782715
2,5,2,BERT,Anglais,0.10195325314998627
2,5,3,BERT,Anglais,0.08922462165355682
2,5,4,BERT,Anglais,12.877091407775879
2,5,5,BERT,Anglais,5.588918209075928
2,5,6,BERT,Anglais,0.024896539747714996
2,5,7,BERT,Anglais,4.473289489746094
2,5,8,BERT,Anglais,7.198798656463623
2,5,9,BERT,Anglais,6.355197429656982
2,5,10,BERT,Anglais,0.018493425101041794
2,6,1,BERT,Anglais,4.349890232086182
2,6,2,BERT,Anglais,0.10506875067949295
2,6,3,BERT,Anglais,0.11835817992687225
2,6,4,BERT,Anglais,12.123239517211914
2,6,5,BERT,Anglais,7.782791614532471
2,6,6,BERT,Anglais,0.9839175939559937
2,6,7,BERT,Anglais,8.796242713928223
2,6,8,BERT,Anglais,15.986711502075195
2,6,10,BERT,Anglais,0.03932994231581688
2,7,1,BERT,Anglais,4.825047969818115
2,7,2,BERT,Anglais,0.28624558448791504
2,7,3,BERT,Anglais,9.713955879211426
2,7,4,BERT,Anglais,11.935815811157227
2,7,5,BERT,Anglais,10.520822525024414
2,7,6,BERT,Anglais,6.476327896118164
2,7,7,BERT,Anglais,4.883471488952637
2,7,8,BERT,Anglais,6.427703857421875
2,7,9,BERT,Anglais,6.594378471374512
2,7,10,BERT,Anglais,0.026091773062944412
2,8,1,BERT,Anglais,5.505136013031006
2,8,2,BERT,Anglais,0.19815826416015625
2,8,3,BERT,Anglais,8.162453651428223
2,8,4,BERT,Anglais,11.51802921295166
2,8,5,BERT,Anglais,13.297107696533203
2,8,6,BERT,Anglais,10.473727226257324
2,8,7,BERT,Anglais,8.219293594360352
2,8,8,BERT,Anglais,13.138468742370605
2,8,10,BERT,Anglais,0.027952585369348526
3,1,1,BERT,Anglais,1.5258946418762207
3,1,2,BERT,Anglais,7.082188606262207
3,1,3,BERT,Anglais,0.10740400850772858
3,1,7,BERT,Anglais,6.818691253662109
3,1,8,BERT,Anglais,7.512321472167969
3,1,9,BERT,Anglais,1.9962973594665527
3,1,10,BERT,Anglais,18.901819229125977
3,2,1,BERT,Anglais,1.056007981300354
3,2,2,BERT,Anglais,6.321037292480469
3,2,3,BERT,Anglais,0.26952996850013733
3,2,7,BERT,Anglais,12.11436939239502
3,2,8,BERT,Anglais,10.993890762329102
3,2,10,BERT,Anglais,23.658235549926758
3,3,1,BERT,Anglais,1.4858675003051758
3,3,2,BERT,Anglais,3.153536558151245
3,3,3,BERT,Anglais,12.213210105895996
3,3,7,BERT,Anglais,7.212645530700684
3,3,8,BERT,Anglais,12.448409080505371
3,3,9,BERT,Anglais,5.327825546264648
3,3,10,BERT,Anglais,15.753034591674805
3,4,1,BERT,Anglais,1.3678464889526367
3,4,2,BERT,Anglais,4.837960720062256
3,4,3,BERT,Anglais,6.6825056076049805
3,4,7,BERT,Anglais,12.151564598083496
3,4,8,BERT,Anglais,14.984318733215332
3,4,10,BERT,Anglais,17.194438934326172
3,5,1,BERT,Anglais,1.1637036800384521
3,5,2,BERT,Anglais,2.8490591049194336
3,5,3,BERT,Anglais,0.037130992859601974
3,5,4,BERT,Anglais,12.80246353149414
3,5,5,BERT,Anglais,6.144580841064453
3,5,6,BERT,Anglais,0.002677156589925289
3,5,7,BERT,Anglais,6.336234092712402
3,5,8,BERT,Anglais,7.055298805236816
3,5,9,BERT,Anglais,2.1596453189849854
3,5,10,BERT,Anglais,16.979665756225586
3,6,1,BERT,Anglais,0.8714014887809753
3,6,2,BERT,Anglais,2.387847661972046
3,6,3,BERT,Anglais,0.046667277812957764
3,6,4,BERT,Anglais,12.653146743774414
3,6,5,BERT,Anglais,6.149988174438477
3,6,6,BERT,Anglais,0.009837334044277668
3,6,7,BERT,Anglais,12.28160572052002
3,6,8,BERT,Anglais,10.745719909667969
3,6,10,BERT,Anglais,20.21954917907715
3,7,1,BERT,Anglais,2.2256226539611816
3,7,2,BERT,Anglais,1.5475202798843384
3,7,3,BERT,Anglais,10.17442512512207
3,7,4,BERT,Anglais,11.481812477111816
3,7,5,BERT,Anglais,7.056082725524902
3,7,6,BERT,Anglais,3.7098612785339355
3,7,7,BERT,Anglais,6.572802543640137
3,7,8,BERT,Anglais,7.741405963897705
3,7,9,BERT,Anglais,2.5054919719696045
3,7,10,BERT,Anglais,16.261938095092773
3,8,1,BERT,Anglais,2.0927014350891113
3,8,2,BERT,Anglais,1.592888593673706
3,8,3,BERT,Anglais,9.46203327178955
3,8,4,BERT,Anglais,11.691861152648926
3,8,5,BERT,Anglais,7.090376377105713
3,8,6,BERT,Anglais,3.8007712364196777
3,8,7,BERT,Anglais,11.552277565002441
3,8,8,BERT,Anglais,8.904780387878418
3,8,10,BERT,Anglais,19.757875442504883
4,1,1,BERT,Anglais,5.944629669189453
4,1,2,BERT,Anglais,4.775676250457764
4,1,3,BERT,Anglais,3.3112523555755615
4,1,7,BERT,Anglais,3.87984561920166
4,1,8,BERT,Anglais,5.741606712341309
4,1,9,BERT,Anglais,11.126068115234375
4,1,10,BERT,Anglais,15.809489250183105
4,2,1,BERT,Anglais,4.732869625091553
4,2,2,BERT,Anglais,5.346733093261719
4,2,3,BERT,Anglais,5.753950595855713
4,2,7,BERT,Anglais,7.965476989746094
4,2,8,BERT,Anglais,14.685354232788086
4,2,10,BERT,Anglais,14.972579956054688
4,3,1,BERT,Anglais,3.110238552093506
4,3,2,BERT,Anglais,4.046648979187012
4,3,3,BERT,Anglais,11.21657657623291
4,3,7,BERT,Anglais,4.202086925506592
4,3,8,BERT,Anglais,9.471416473388672
4,3,9,BERT,Anglais,10.822904586791992
4,3,10,BERT,Anglais,15.875496864318848
4,4,1,BERT,Anglais,4.154490947723389
4,4,2,BERT,Anglais,4.9742751121521
4,4,3,BERT,Anglais,1.1581681966781616
4,4,7,BERT,Anglais,4.959301471710205
4,4,8,BERT,Anglais,14.943480491638184
4,4,10,BERT,Anglais,13.322267532348633
4,5,1,BERT,Anglais,6.822649955749512
4,5,2,BERT,Anglais,3.7733724117279053
4,5,3,BERT,Anglais,3.390134572982788
4,5,4,BERT,Anglais,1.9402920007705688
4,5,5,BERT,Anglais,5.547791957855225
4,5,6,BERT,Anglais,0.1098761186003685
4,5,7,BERT,Anglais,3.710716724395752
4,5,8,BERT,Anglais,5.955359935760498
4,5,9,BERT,Anglais,10.815829277038574
4,5,10,BERT,Anglais,17.645130157470703
4,6,1,BERT,Anglais,6.32003927230835
4,6,2,BERT,Anglais,4.11179780960083
4,6,3,BERT,Anglais,3.716353416442871
4,6,4,BERT,Anglais,2.1648645401000977
4,6,5,BERT,Anglais,7.803823947906494
4,6,6,BERT,Anglais,3.376746892929077
4,6,7,BERT,Anglais,7.236404895782471
4,6,8,BERT,Anglais,15.627544403076172
4,6,10,BERT,Anglais,14.976990699768066
4,7,1,BERT,Anglais,4.385898590087891
4,7,2,BERT,Anglais,4.678489685058594
4,7,3,BERT,Anglais,8.115720748901367
4,7,4,BERT,Anglais,1.8528213500976562
4,7,5,BERT,Anglais,9.852319717407227
4,7,6,BERT,Anglais,7.502022743225098
4,7,7,BERT,Anglais,3.7966928482055664
4,7,8,BERT,Anglais,5.9329609870910645
4,7,9,BERT,Anglais,11.458420753479004
4,7,10,BERT,Anglais,16.999265670776367
4,8,1,BERT,Anglais,6.024810314178467
4,8,2,BERT,Anglais,4.489978790283203
4,8,3,BERT,Anglais,5.934072494506836
4,8,4,BERT,Anglais,2.099066734313965
4,8,5,BERT,Anglais,7.982962131500244
4,8,6,BERT,Anglais,2.529341220855713
4,8,7,BERT,Anglais,6.806996822357178
4,8,8,BERT,Anglais,14.507978439331055
4,8,10,BERT,Anglais,15.118571281433105
5,1,1,BERT,Anglais,2.5775415897369385
5,1,2,BERT,Anglais,0.8718823194503784
5,1,3,BERT,Anglais,0.6762346625328064
5,1,7,BERT,Anglais,4.2593770027160645
5,1,8,BERT,Anglais,8.242024421691895
