numero,variable,langue,phrase
1,1,français,Le policier a découvert que le condamné au crâne rasé a introduit clandestinement une arme à feu dans la prison .
2,1,français,Le propriétaire du magasin s'est rendu compte que le serveur en veste blanche a placé une bougie près de la nappe .
3,1,français,Le comité a demandé que le banquier de la grande entreprise vende une hypothèque avec un crédit défectueux .
4,1,français,Le premier partenaire a dit que le marin en veste de pluie a tiré une corde de toutes ses forces. 
5,1,français,Le journal a déclaré que le footballeur de l'équipe rivale a marqué un but durant le championnat . 
6,1,français,Le mari a vu que la femme de ménage du nouveau service de nettoyage a cassé un vase dans le couloir .
7,1,français,L'administrateur a découvert que les étudiants qui étaient tous très diligents ont écrit sur la philosophie pour leur mémoire .
8,1,français,Ma mère s'est souvenue que le pompier qui a récemment commencé à travailler pour le département a sauvé son chat de l'immeuble en flammes .
9,1,français,Notre ami a dit que le client qui n'avait jamais possédé de véhicule auparavant a offert la nouvelle voiture à crédit .
10,1,français,Le mémoire a raconté que la joueuse de tennis qui espérait gagner le tournoi de la grande île pensait à son service avant le match .
11,1,français,Votre père a remarqué que l'auteur que les fans adoraient a signé un exemplaire de son livre après la lecture .
12,1,français,Le rapport a décrit que le gardien du zoo qui dormait au travail a perdu la trace d'un kangourou au zoo .
13,1,français,Le journaliste a déclaré que les citoyens qui se soucient de l'engagement civique ont parlé d'un nouveau projet de loi à la réunion de la mairie .
14,1,français,L'assistant s'est rendu compte que l'infirmière en uniforme blanc réconfortait le patient dans la salle d'attente .
15,1,français,Votre ami a dit que le bibliothécaire avec les lunettes en plastique épaisses a placé le livre sur la mauvaise étagère .
16,1,français,Le témoin s'est rendu compte que les avocats en costumes et cravates sombres ont déchiré les documents tard dans la nuit .
17,1,français,L'article disait que le chef qui était originaire de France préparait la soupe avant la ruée du dîner * L'article disait que le chef qui était originaire de France préparait avant la ruée du dîner .
18,1,français,La compagnie d'assurance a conclu que le chauffeur de taxi avec la casquette à carreaux a heurté le cerf pendant qu'il conduisait imprudemment .
19,1,français,Le directeur du musée s'est rendu compte que le cambrioleur qui s'est fait passer pour un visiteur a volé le tableau la nuit dernière .
