Labels;Groupe1;Groupe2;Groupe3;Groupe4;Groupe5;Groupe6;Groupe7;Groupe8;Groupe9;Groupe10;Groupe11;Groupe12
à;Je sais que mon frère a dit notre tante a dévoré le gâteau à la fête .;Je sais que mon frère a dit notre tante a dévoré à la fête .;Je sais ce que mon frère a dit notre tante a dévoré le gâteau à la fête .;Je sais ce que mon frère a dit notre tante a dévoré à la fête .;Je sais que mon frère a dit que notre tante a dévoré le gâteau à la fête .;Je sais que mon frère a dit que notre tante a dévoré à la fête .;Je sais ce que mon frère a dit que notre tante a dévoré le gâteau à la fête .;Je sais ce que mon frère a dit que notre tante a dévoré à la fête .;Je sais que mon frère a dit si notre tante a dévoré le gâteau à la fête .;Je sais que mon frère a dit si notre tante a dévoré à la fête .;Je sais ce que mon frère a dit si notre tante a dévoré le gâteau à la fête .;Je sais ce que mon frère a dit si notre tante a dévoré à la fête .
dans;Mon voisin m'a dit que le pompier croit le chien a attrapé le chat dans le garage .;Mon voisin m'a dit que le pompier croit le chien a attrapé dans le garage .;Mon voisin m'a dit ce que le pompier croit le chien a attrapé le chat dans le garage .;Mon voisin m'a dit ce que le pompier croit le chien a attrapé dans le garage .;Mon voisin m'a dit que le pompier croit que le chien a attrapé le chat dans le garage .;Mon voisin m'a dit que le pompier croit que le chien a attrapé dans le garage .;Mon voisin m'a dit ce que le pompier croit que le chien a attrapé le chat dans le garage .;Mon voisin m'a dit ce que le pompier croit que le chien a attrapé dans le garage .;Mon voisin m'a dit que le pompier croit si le chien a attrapé le chat dans le garage .;Mon voisin m'a dit que le pompier croit si le chien a attrapé dans le garage .;Mon voisin m'a dit ce que le pompier croit si le chien a attrapé le chat dans le garage .;Mon voisin m'a dit ce que le pompier croit si le chien a attrapé dans le garage .
dans;Je sais que notre assistant croit le comité a livré le rapport dans les délais .;Je sais que notre assistant croit le comité a livré dans les délais .;Je sais ce que notre assistant croit le comité a livré le rapport dans les délais .;Je sais ce que notre assistant croit le comité a livré dans les délais .;Je sais que notre assistant croit que le comité a livré le rapport dans les délais .;Je sais que notre assistant croit que le comité a livré dans les délais .;Je sais ce que notre assistant croit que le comité a livré le rapport dans les délais .;Je sais ce que notre assistant croit que le comité a livré dans les délais .;Je sais que notre assistant croit si le comité a livré le rapport dans les délais .;Je sais que notre assistant croit si le comité a livré dans les délais .;Je sais ce que notre assistant croit si le comité a livré le rapport dans les délais .;Je sais ce que notre assistant croit si le comité a livré dans les délais .
durant;Tu te souviens que j'ai découvert l'eau a ruiné le nouveau tapis durant l'inondation .;Tu te souviens que j'ai découvert l'eau a ruiné durant l'inondation .;Tu te souviens ce que j'ai découvert l'eau a ruiné le nouveau tapis durant l'inondation .;Tu te souviens ce que j'ai découvert l'eau a ruiné durant l'inondation .;Tu te souviens que j'ai découvert que l'eau a ruiné le nouveau tapis durant l'inondation .;Tu te souviens que j'ai découvert que l'eau a ruiné durant l'inondation .;Tu te souviens ce que j'ai découvert que l'eau a ruiné le nouveau tapis durant l'inondation .;Tu te souviens ce que j'ai découvert que l'eau a ruiné durant l'inondation .;Tu te souviens que j'ai découvert si l'eau a ruiné le nouveau tapis durant l'inondation .;Tu te souviens que j'ai découvert si l'eau a ruiné durant l'inondation .;Tu te souviens ce que j'ai découvert si l'eau a ruiné le nouveau tapis durant l'inondation .;Tu te souviens ce que j'ai découvert si l'eau a ruiné durant l'inondation .
le;Elle m'a dit que le professeur soupçonne l'étudiant vedette a volé les réponses au test le semestre dernier .;Elle m'a dit que le professeur soupçonne l'étudiant vedette a volé le semestre dernier .;Elle m'a dit ce que le professeur soupçonne l'étudiant vedette a volé les réponses au test le semestre dernier . ;Elle m'a dit ce que le professeur soupçonne l'étudiant vedette a volé le semestre dernier .;Elle m'a dit que le professeur soupçonne que l'étudiant vedette a volé les réponses au test le semestre dernier .;Elle m'a dit que le professeur soupçonne que l'étudiant vedette a volé le semestre dernier .;Elle m'a dit ce que le professeur soupçonne que l'étudiant vedette a volé les réponses au test le semestre dernier .;Elle m'a dit ce que le professeur soupçonne que l'étudiant vedette a volé le semestre dernier .;Elle m'a dit que le professeur soupçonne si l'étudiant vedette a volé les réponses au test le semestre dernier .;Elle m'a dit que le professeur soupçonne si l'étudiant vedette a volé le semestre dernier .;Elle m'a dit ce que le professeur soupçonne si l'étudiant vedette a volé les réponses au test le semestre dernier .;Elle m'a dit ce que le professeur soupçonne si l'étudiant vedette a volé le semestre dernier .
avec;Elle sait que l'expert peut dire le collectionneur a falsifié le tableau avec l'aide de la technologie moderne .;Elle sait que l'expert peut dire le collectionneur a falsifié avec l'aide de la technologie moderne .;Elle sait ce que l'expert peut dire le collectionneur a falsifié le tableau avec l'aide de la technologie moderne .;Elle sait ce que l'expert peut dire le collectionneur a falsifié avec l'aide de la technologie moderne .;Elle sait que l'expert peut dire que le collectionneur a falsifié le tableau avec l'aide de la technologie moderne .;Elle sait que l'expert peut dire que le collectionneur a falsifié avec l'aide de la technologie moderne .;Elle sait ce que l'expert peut dire que le collectionneur a falsifié le tableau avec l'aide de la technologie moderne .;Elle sait ce que l'expert peut dire que le collectionneur a falsifié avec l'aide de la technologie moderne .;Elle sait que l'expert peut dire si le collectionneur a falsifié le tableau avec l'aide de la technologie moderne .;Elle sait que l'expert peut dire si le collectionneur a falsifié avec l'aide de la technologie moderne .;Elle sait ce que l'expert peut dire si le collectionneur a falsifié le tableau avec l'aide de la technologie moderne .;Elle sait ce que l'expert peut dire si le collectionneur a falsifié avec l'aide de la technologie moderne .
dans;Nous nous souvenons tous que le politicien a déclaré le détenu a introduit une arme dans la prison .!!!;Nous nous souvenons tous que le politicien a déclaré le détenu a introduit dans la prison .;Nous nous souvenons tous ce que le politicien a déclaré le détenu a introduit une arme dans la prison .;Nous nous souvenons tous ce que le politicien a déclaré le détenu a introduit dans la prison .;Nous nous souvenons tous que le politicien a déclaré que le détenu a introduit une arme dans la prison .;Nous nous souvenons tous que le politicien a déclaré que le détenu a introduit dans la prison .;Nous nous souvenons tous ce que le politicien a déclaré que le détenu a introduit une arme dans la prison .;Nous nous souvenons tous ce que le politicien a déclaré que le détenu a introduit dans la prison .;Nous nous souvenons tous que le politicien a déclaré si le détenu a introduit une arme dans la prison .;Nous nous souvenons tous que le politicien a déclaré si le détenu a introduit dans la prison .;Nous nous souvenons tous ce que le politicien a déclaré si le détenu a introduit une arme dans la prison .;Nous nous souvenons tous ce que le politicien a déclaré si le détenu a introduit dans la prison .
le;Mon ami a rapporté que le banquier prédit la société vendra plusieurs actifs le prochain trimestre .;Mon ami a rapporté que le banquier prédit la société vendra le prochain trimestre .;Mon ami a rapporté ce que le banquier prédit la société vendra plusieurs actifs le prochain trimestre .;Mon ami a rapporté ce que le banquier prédit la société vendra le prochain trimestre .;Mon ami a rapporté que le banquier prédit que la société vendra plusieurs actifs le prochain trimestre .;Mon ami a rapporté que le banquier prédit que la société vendra le prochain trimestre .;Mon ami a rapporté ce que le banquier prédit que la société vendra plusieurs actifs le prochain trimestre .;Mon ami a rapporté ce que le banquier prédit que la société vendra le prochain trimestre .;Mon ami a rapporté que le banquier prédit si la société vendra plusieurs actifs le prochain trimestre .;Mon ami a rapporté que le banquier prédit si la société vendra le prochain trimestre .;Mon ami a rapporté ce que le banquier prédit si la société vendra plusieurs actifs le prochain trimestre .;Mon ami a rapporté ce que le banquier prédit si la société vendra le prochain trimestre .
la;J'ai une idée que l'acteur soupçonne sa rivale a saboté l'audition la semaine passé .;J'ai une idée que l'acteur soupçonne sa rivale a saboté la semaine passé .;J'ai une idée sur ce que l'acteur soupçonne sa rivale a saboté l'audition la semaine passé . ;J'ai une idée sur ce que l'acteur soupçonne sa rivale a saboté la semaine passé .;J'ai une idée sur le fait que l'acteur soupçonne sa rivale a saboté l'audition la semaine passé .;J'ai une idée sur le fait que l'acteur soupçonne sa rivale a saboté la semaine passé .;J'ai une idée sur le fait ce que l'acteur soupçonne sa rivale a saboté l'audition la semaine passé .;J'ai une idée sur le fait ce que l'acteur soupçonne sa rivale a saboté la semaine passé .;J'ai une idée sur le fait que l'acteur soupçonne si sa rivale a saboté l'audition la semaine passé .;J'ai une idée sur le fait que l'acteur soupçonne si sa rivale a saboté la semaine passé .;J'ai une idée sur le fait ce que l'acteur soupçonne si sa rivale a saboté l'audition la semaine passé .;J'ai une idée sur le fait ce que l'acteur soupçonne si sa rivale a saboté la semaine passé .
pour;Elle peut deviner que notre ami prédit la star de cinéma recevra un oscar pour son travail difficile .;Elle peut deviner que notre ami prédit la star de cinéma recevra pour son travail difficile .;Elle peut deviner ce que notre ami prédit la star de cinéma recevra un oscar pour son travail difficile .;Elle peut deviner ce que notre ami prédit la star de cinéma recevra pour son travail difficile .;Elle peut deviner que notre ami prédit que la star de cinéma recevra un oscar pour son travail difficile .;Elle peut deviner que notre ami prédit que la star de cinéma recevra pour son travail difficile .;Elle peut deviner ce que notre ami prédit que la star de cinéma recevra un oscar pour son travail difficile .;Elle peut deviner ce que notre ami prédit que la star de cinéma recevra pour son travail difficile .;Elle peut deviner que notre ami prédit si la star de cinéma recevra un oscar pour son travail difficile .;Elle peut deviner que notre ami prédit si la star de cinéma recevra pour son travail difficile .;Elle peut deviner ce que notre ami prédit si la star de cinéma recevra un oscar pour son travail difficile .;Elle peut deviner ce que notre ami prédit si la star de cinéma recevra pour son travail difficile .
