numero,variable,region,model,langue,surprisal
1,1,1,BERT,Français,5.015371980025144
1,1,2,BERT,Français,8.757831153942155
1,1,3,BERT,Français,1.209859847450557
1,1,4,BERT,Français,6.927388141503655
1,1,5,BERT,Français,8.526752432663429
1,1,7,BERT,Français,9.162397858066148
1,1,8,BERT,Français,14.395327898582408
1,1,9,BERT,Français,9.161203957020021
1,1,10,BERT,Français,14.633532768933069
1,2,1,BERT,Français,3.6594594461113212
1,2,2,BERT,Français,7.208795370345396
1,2,3,BERT,Français,1.190829494399504
1,2,4,BERT,Français,6.335176455036971
1,2,5,BERT,Français,6.683020273818887
1,2,7,BERT,Français,10.995841953849418
1,2,8,BERT,Français,18.588072071136093
1,2,10,BERT,Français,18.799284998196963
1,3,1,BERT,Français,5.4463941407695735
1,3,2,BERT,Français,10.057967372639814
1,3,3,BERT,Français,4.324429686342923
1,3,4,BERT,Français,7.700313767845189
1,3,5,BERT,Français,8.78478755945407
1,3,7,BERT,Français,8.698841412390571
1,3,8,BERT,Français,14.04202617503363
1,3,9,BERT,Français,8.963025224511217
1,3,10,BERT,Français,14.526100814554212
1,4,1,BERT,Français,4.419983244869439
1,4,2,BERT,Français,7.291675849653358
1,4,3,BERT,Français,3.3662760369712728
1,4,4,BERT,Français,6.138114759167882
1,4,5,BERT,Français,5.362017138293716
1,4,7,BERT,Français,10.41813961541377
1,4,8,BERT,Français,17.968843003540755
1,4,10,BERT,Français,16.636700974799425
1,5,1,BERT,Français,2.889493272730708
1,5,2,BERT,Français,6.3186451156311705
1,5,3,BERT,Français,0.15838968199239759
1,5,4,BERT,Français,6.7408917922402525
1,5,5,BERT,Français,5.720732612610646
1,5,6,BERT,Français,0.5455805848703907
1,5,7,BERT,Français,8.645811834140881
1,5,8,BERT,Français,13.323286838523453
1,5,9,BERT,Français,8.64215768432103
1,5,10,BERT,Français,13.40556934652648
1,6,1,BERT,Français,3.5311999818642383
1,6,2,BERT,Français,6.090816382854106
1,6,3,BERT,Français,0.27076523633330724
1,6,4,BERT,Français,6.786492875042378
1,6,5,BERT,Français,6.879086163310926
1,6,6,BERT,Français,0.802919071167215
1,6,7,BERT,Français,9.016483671014635
1,6,8,BERT,Français,17.733273355181737
1,6,10,BERT,Français,13.865882062327852
1,7,1,BERT,Français,3.8509930123469283
1,7,2,BERT,Français,5.850064690459482
1,7,3,BERT,Français,0.3100842228049663
1,7,4,BERT,Français,6.662179273182679
1,7,5,BERT,Français,6.487974039388341
1,7,6,BERT,Français,5.253983445274733
1,7,7,BERT,Français,8.230761015096922
1,7,8,BERT,Français,13.139159195907707
1,7,9,BERT,Français,8.263781726389452
1,7,10,BERT,Français,14.581103431457606
1,8,1,BERT,Français,3.1571059851176404
1,8,2,BERT,Français,5.532476413152381
1,8,3,BERT,Français,0.16670163009617905
1,8,4,BERT,Français,6.17185547559207
1,8,5,BERT,Français,8.143520708410371
1,8,6,BERT,Français,5.058194226051927
1,8,7,BERT,Français,9.23241289733853
1,8,8,BERT,Français,17.123404368029234
1,8,10,BERT,Français,15.30769663558479
1,9,1,BERT,Français,3.0512455739364164
1,9,2,BERT,Français,6.639047789206463
1,9,3,BERT,Français,1.4177649689676008
1,9,4,BERT,Français,6.347500397533222
1,9,5,BERT,Français,6.247822328389299
1,9,6,BERT,Français,11.905042192796559
1,9,7,BERT,Français,9.479765840064074
1,9,8,BERT,Français,13.984649267567505
1,9,9,BERT,Français,8.647706511259978
1,9,10,BERT,Français,13.755915529181562
1,10,1,BERT,Français,3.4675667832958443
1,10,2,BERT,Français,6.028113475302078
1,10,3,BERT,Français,0.9502870285719529
1,10,4,BERT,Français,6.134991832404379
1,10,5,BERT,Français,7.186467830577153
1,10,6,BERT,Français,11.70946866766942
1,10,7,BERT,Français,9.67086200173067
1,10,8,BERT,Français,17.792852634824186
1,10,10,BERT,Français,14.466895235755747
1,11,1,BERT,Français,3.117572533880293
1,11,2,BERT,Français,4.681815523274694
1,11,3,BERT,Français,0.5716191236286003
1,11,4,BERT,Français,6.003394111409763
1,11,5,BERT,Français,4.704163677318217
1,11,6,BERT,Français,10.165676519807466
1,11,7,BERT,Français,8.880820754677783
1,11,8,BERT,Français,13.186891021587464
1,11,9,BERT,Français,7.757280458310175
1,11,10,BERT,Français,13.514851467598552
1,12,1,BERT,Français,2.1500292617889154
1,12,2,BERT,Français,3.1310311022174138
1,12,3,BERT,Français,0.3095397599809102
1,12,4,BERT,Français,5.061445081380638
1,12,5,BERT,Français,5.237114254324765
1,12,6,BERT,Français,10.394548854276916
1,12,7,BERT,Français,10.031510118800067
1,12,8,BERT,Français,17.01409571367909
1,12,10,BERT,Français,13.61457781047697
2,1,1,BERT,Français,6.061313628746099
2,1,2,BERT,Français,4.655842683948451
2,1,3,BERT,Français,4.012817018261616
2,1,4,BERT,Français,13.369824099625479
2,1,5,BERT,Français,12.437977963354536
2,1,7,BERT,Français,10.529198035713401
2,1,8,BERT,Français,11.811567051209183
2,1,9,BERT,Français,7.147866292869871
2,1,10,BERT,Français,14.72638791989093
2,2,1,BERT,Français,6.5365634350702715
2,2,2,BERT,Français,2.404920347342341
2,2,3,BERT,Français,3.7111685570393442
2,2,4,BERT,Français,12.887394096938165
2,2,5,BERT,Français,11.910415361290323
2,2,7,BERT,Français,11.631354735136204
2,2,8,BERT,Français,13.27510899553799
2,2,10,BERT,Français,12.940094307297224
2,3,1,BERT,Français,5.405099906075539
2,3,2,BERT,Français,6.191905742019278
2,3,3,BERT,Français,5.078384029516764
2,3,4,BERT,Français,12.922813477689134
2,3,5,BERT,Français,11.879786015619057
2,3,7,BERT,Français,12.168780620675447
2,3,8,BERT,Français,13.5068579613571
2,3,9,BERT,Français,6.640919384748721
2,3,10,BERT,Français,14.461770564346557
2,4,1,BERT,Français,5.9956487001705
2,4,2,BERT,Français,6.013436087509176
2,4,3,BERT,Français,4.7431890912202395
2,4,4,BERT,Français,12.633959322764376
2,4,5,BERT,Français,12.213556865340365
2,4,7,BERT,Français,12.010282162310991
2,4,8,BERT,Français,13.778783878895965
2,4,10,BERT,Français,14.801322062194377
2,5,1,BERT,Français,6.348276552124354
2,5,2,BERT,Français,4.716277309050553
2,5,3,BERT,Français,0.5929597186015504
2,5,4,BERT,Français,12.231027635618354
2,5,5,BERT,Français,8.017051410686499
2,5,6,BERT,Français,0.13925408750109491
2,5,7,BERT,Français,8.218861842156668
2,5,8,BERT,Français,8.110689984405715
2,5,9,BERT,Français,5.786748608966357
2,5,10,BERT,Français,12.553974958561065
2,6,1,BERT,Français,7.388431547899655
2,6,2,BERT,Français,5.331728503051761
2,6,3,BERT,Français,1.0047965637367329
2,6,4,BERT,Français,12.175526566530445
2,6,5,BERT,Français,9.083724427543062
2,6,6,BERT,Français,0.5657012531895949
2,6,7,BERT,Français,8.438631636122365
2,6,8,BERT,Français,13.502902248301597
2,6,10,BERT,Français,10.444629870741702
2,7,1,BERT,Français,4.6431342099326125
2,7,2,BERT,Français,5.874675769870882
2,7,3,BERT,Français,4.415747733110864
2,7,4,BERT,Français,11.867102135757658
2,7,5,BERT,Français,7.315425146434454
2,7,6,BERT,Français,0.19125072698495943
2,7,7,BERT,Français,9.605987987698898
2,7,8,BERT,Français,7.973838447767028
2,7,9,BERT,Français,5.6609999521430145
2,7,10,BERT,Français,13.702330271732095
2,8,1,BERT,Français,5.626470894180773
2,8,2,BERT,Français,6.2176639055823495
2,8,3,BERT,Français,2.855691530843441
2,8,4,BERT,Français,11.469245294859046
2,8,5,BERT,Français,8.664586882011077
2,8,6,BERT,Français,0.45250834867059314
2,8,7,BERT,Français,9.276620588654529
2,8,8,BERT,Français,12.80753409610985
2,8,10,BERT,Français,12.500519758257441
2,9,1,BERT,Français,6.293590406066727
2,9,2,BERT,Français,4.952764566811617
2,9,3,BERT,Français,1.296833363669791
2,9,4,BERT,Français,12.142018150889863
2,9,5,BERT,Français,11.936571836700947
2,9,6,BERT,Français,12.23235592180184
2,9,7,BERT,Français,8.623500309086126
2,9,8,BERT,Français,11.065930703714429
2,9,9,BERT,Français,6.544869976425871
2,9,10,BERT,Français,13.185073177500776
2,10,1,BERT,Français,7.140372043127274
2,10,2,BERT,Français,4.178463835095291
2,10,3,BERT,Français,1.6528666325655657
2,10,4,BERT,Français,11.557435595808421
2,10,5,BERT,Français,10.645521249008807
2,10,6,BERT,Français,10.397049619395824
2,10,7,BERT,Français,10.291825219419286
2,10,8,BERT,Français,13.558426943286463
2,10,10,BERT,Français,10.805053974716808
2,11,1,BERT,Français,6.871390447384823
2,11,2,BERT,Français,5.88930180550361
2,11,3,BERT,Français,3.7659317799441783
2,11,4,BERT,Français,12.199005335352933
2,11,5,BERT,Français,10.632208414071679
2,11,6,BERT,Français,12.526975940677435
2,11,7,BERT,Français,9.654409585457213
2,11,8,BERT,Français,10.446301458811028
2,11,9,BERT,Français,6.224013135610878
2,11,10,BERT,Français,14.818553497643475
2,12,1,BERT,Français,8.401758562971951
2,12,2,BERT,Français,5.787713210857345
2,12,3,BERT,Français,3.0694776736882634
2,12,4,BERT,Français,11.34801209610489
2,12,5,BERT,Français,10.405267529575948
2,12,6,BERT,Français,10.096501493119884
2,12,7,BERT,Français,11.486252769455987
2,12,8,BERT,Français,12.784181164188078
2,12,10,BERT,Français,12.846941594318455
3,1,1,BERT,Français,6.0435955696681365
3,1,2,BERT,Français,16.071871216191965
3,1,3,BERT,Français,3.6478199503925546
3,1,4,BERT,Français,13.815192742551815
3,1,5,BERT,Français,14.806224707938341
3,1,7,BERT,Français,15.481582517556019
3,1,8,BERT,Français,14.018387602530671
3,1,9,BERT,Français,10.543029894521098
3,1,10,BERT,Français,16.147045278955378
3,2,1,BERT,Français,5.362904206657332
3,2,2,BERT,Français,13.108836894405359
3,2,3,BERT,Français,3.156029220943573
3,2,4,BERT,Français,14.569613682616955
3,2,5,BERT,Français,15.89683835607237
3,2,7,BERT,Français,16.265315907715927
3,2,8,BERT,Français,12.853006298560882
3,2,10,BERT,Français,16.94890044744001
3,3,1,BERT,Français,8.686239667866536
3,3,2,BERT,Français,13.204503879774792
3,3,3,BERT,Français,7.084759298845468
3,3,4,BERT,Français,14.721548982027882
3,3,5,BERT,Français,18.93325284617
3,3,7,BERT,Français,13.733319386638371
3,3,8,BERT,Français,14.65907851429664
3,3,9,BERT,Français,11.25898673338038
3,3,10,BERT,Français,16.105135712522085
3,4,1,BERT,Français,5.45223608129642
3,4,2,BERT,Français,12.553063245396118
3,4,3,BERT,Français,6.489970274344558
3,4,4,BERT,Français,16.81150200407783
3,4,5,BERT,Français,17.689993886165464
3,4,7,BERT,Français,16.089687022166093
3,4,8,BERT,Français,14.483293292525152
3,4,10,BERT,Français,18.85564142460615
3,5,1,BERT,Français,11.507956252479511
3,5,2,BERT,Français,9.510852486567572
3,5,3,BERT,Français,0.5603049136702853
3,5,4,BERT,Français,13.574205674539702
3,5,5,BERT,Français,12.900318790605327
3,5,6,BERT,Français,0.11539979864055656
3,5,7,BERT,Français,8.796986779741829
3,5,8,BERT,Français,13.853254059651457
3,5,9,BERT,Français,6.026432073079762
3,5,10,BERT,Français,15.599089301884723
3,6,1,BERT,Français,7.9775890067429485
3,6,2,BERT,Français,9.937887472390354
3,6,3,BERT,Français,0.25434690784806263
3,6,4,BERT,Français,14.334537427811812
3,6,5,BERT,Français,12.173774385273093
3,6,6,BERT,Français,0.3356263949977662
3,6,7,BERT,Français,14.204572647754567
3,6,8,BERT,Français,9.745159658471449
3,6,10,BERT,Français,14.613655811676088
3,7,1,BERT,Français,6.362246370648177
3,7,2,BERT,Français,13.199796811899992
3,7,3,BERT,Français,4.048270363997921
3,7,4,BERT,Français,13.572662728290586
3,7,5,BERT,Français,12.702589845083683
3,7,6,BERT,Français,1.3292241521399122
3,7,7,BERT,Français,8.0135539611831
3,7,8,BERT,Français,12.195191684696388
3,7,9,BERT,Français,7.010490725546901
3,7,10,BERT,Français,15.542173402926888
3,8,1,BERT,Français,5.626268461536665
3,8,2,BERT,Français,12.023213112152309
3,8,3,BERT,Français,1.2188986713311574
3,8,4,BERT,Français,13.955198183023107
3,8,5,BERT,Français,12.852495377130078
3,8,6,BERT,Français,0.9987751437147541
3,8,7,BERT,Français,14.426883551980461
3,8,8,BERT,Français,9.911682759189327
3,8,10,BERT,Français,16.085817636985098
3,9,1,BERT,Français,14.466092143057768
3,9,2,BERT,Français,7.585895980518479
3,9,3,BERT,Français,1.5012385469864604
3,9,4,BERT,Français,12.679921973130908
3,9,5,BERT,Français,12.268362451802616
3,9,6,BERT,Français,10.621998779235167
