numero;variable;langue;phrase;;;;;;;;;
1;1;anglais;I;know;that;my brother;said;;our aunt;devoured;the cake at the party;
1;2;anglais;I;know;that;my brother;said;;our aunt;devoured;at the party .;
1;3;anglais;I;know;what;my brother;said;;our aunt;devoured;the cake at the party;
1;4;anglais;I;know;what;my brother;said;;our aunt;devoured;at the party .;
1;5;anglais;I;know;that;my brother;said;that;our aunt;devoured;the cake at the party;.
1;6;anglais;I;know;that;my brother;said;that;our aunt;devoured;at the party .;
1;7;anglais;I;know;what;my brother;said;that;our aunt;devoured;the cake at the party;.
1;8;anglais;I;know;what;my brother;said;that;our aunt;devoured;at the party .;
1;9;anglais;I;know;that;my brother;said;whether;our aunt;devoured;the cake at the party;
1;10;anglais;I;know;that;my brother;said;whether;our aunt;devoured;at the party .;
1;11;anglais;I;know;what;my brother;said;whether;our aunt;devoured;the cake at the party;
1;12;anglais;I;know;what;my brother;said;whether ;our aunt ;devoured ;at the party. .;
2;1;anglais;My neighbor;told me;that;the fireman;believes;;the dog;caught;the cat in the garage;
2;2;anglais;My neighbor;told me;that;the fireman;believes;;the dog;caught;in the garage .;
2;3;anglais;My neighbor;told me;what;the fireman;believes;;the dog;caught;the cat in the garage;
2;4;anglais;My neighbor;told me;what;the fireman;believes;;the dog;caught;in the garage .;
2;5;anglais;My neighbor;told me;that;the fireman;believes;that;the dog;caught;the cat in the garage;.
2;6;anglais;My neighbor;told me;that;the fireman;believes;that;the dog;caught;in the garage .;
2;7;anglais;My neighbor;told me;what;the fireman;believes;that;the dog;caught;the cat in the garage;.
2;8;anglais;My neighbor;told me;what;the fireman;believes;that;the dog;caught;in the garage .;
2;9;anglais;My neighbor;told me;that;the fireman;believes;whether;the dog;caught;the cat in the garage;
2;10;anglais;My neighbor;told me;that;the fireman;believes;whether;the dog;caught;in the garage .;
2;11;anglais;My neighbor;told me;what;the fireman;believes;whether;the dog;caught;the cat in the garage;
2;12;anglais;My neighbor;told me;what;the fireman;believes;whether;the dog;caught;in the garage .;
3;1;anglais;I;know;that;our assistant;believes;;the committee;delivered;the report by the deadline;
3;2;anglais;I;know;that;our assistant;believes;;the committee;delivered;by the deadline .;
3;3;anglais;I;know;what;our assistant;believes;;the committee;delivered;the report by the deadline;
