numero;variable;langue;phrase;;;;;;;
1;1;anglais;I;know;that;an indication ;;;;caused us to recommend therapy last night .
1;2;anglais;I;know;that;;;;;caused us to recommend therapy last night .
1;3;anglais;I;know;what;an indication ;;;;caused us to recommend therapy last night .
1;4;anglais;I;know;what;;;;;caused us to recommend therapy last night .
1;5;anglais;I;know;that;an indication ;that ;signaled;depression;caused us to recommend therapy last night .
1;6;anglais;I;know;that;an indication ;that ;signaled;;caused us to recommend therapy last night .
1;7;anglais;I;know;what;an indication ;that ;signaled;depression;caused us to recommend therapy last night .
1;8;anglais;I;know;what;an indication ;that ;signaled;;caused us to recommend therapy last night .
2;1;anglais;I;remember;that;the gift ;;;;cost a lot of money at the last minute .
2;2;anglais;I;remember;that;;;;;cost a lot of money at the last minute .
2;3;anglais;I;remember;what;the gift ;;;;cost a lot of money at the last minute .
2;4;anglais;I;remember;what;;;;;cost a lot of money at the last minute .
2;5;anglais;I;remember;that;the gift ;that ;we bought;Mary;cost a lot of money at the last minute .
2;6;anglais;I;remember;that;the gift ;that ;we bought;;cost a lot of money at the last minute .
2;7;anglais;I;remember;who;the gift ;that ;we bought;Mary;cost a lot of money at the last minute .
2;8;anglais;I;remember;who;the gift ;that ;we bought;;cost a lot of money at the last minute .
3;1;anglais;The newspaper;reported;that;the novel ;;;;received favorable reviews in the press .
3;2;anglais;The newspaper;reported;that;;;;;received favorable reviews in the press .
3;3;anglais;The newspaper;reported;what;the novel ;;;;received favorable reviews in the press .
3;4;anglais;The newspaper;reported;what;;;;;received favorable reviews in the press .
3;5;anglais;The newspaper;reported;that;the novel ;that ;provoked;the famous author;received favorable reviews in the press .
3;6;anglais;The newspaper;reported;that;the novel ;that ;provoked;;received favorable reviews in the press .
3;7;anglais;The newspaper;reported;who;the novel ;that ;provoked;the famous author;received favorable reviews in the press .
3;8;anglais;The newspaper;reported;who;the novel ;that ;provoked;;received favorable reviews in the press .
4;1;anglais;I;know;that;the painting ;;;;fetched a high price at auction sometime last year .
4;2;anglais;I;know;that;;;;;fetched a high price at auction sometime last year .
4;3;anglais;I;know;what;the painting ;;;;fetched a high price at auction sometime last year .
4;4;anglais;I;know;what;;;;;fetched a high price at auction sometime last year .
4;5;anglais;I;know;that;the painting ;that ;depicted ;Monet;fetched a high price at auction sometime last year .
4;6;anglais;I;know;that;the painting ;that ;depicted ;;fetched a high price at auction sometime last year .
4;7;anglais;I;know;who;the painting ;that ;depicted ;Monet;fetched a high price at auction sometime last year .
4;8;anglais;I;know;who;the painting ;that ;depicted ;;fetched a high price at auction sometime last year .
5;1;anglais;You;remember;that;the instructions ;;;;fell into the furnace much to our regret .
5;2;anglais;You;remember;that;;;;;fell into the furnace much to our regret .
5;3;anglais;You;remember;what;the instructions ;;;;fell into the furnace much to our regret .
5;4;anglais;You;remember;what;;;;;fell into the furnace much to our regret .
5;5;anglais;You;remember;that;the instructions ;that ;that showed how to operate;the submarine;fell into the furnace much to our regret .
5;6;anglais;You;remember;that;the instructions ;that ;that showed how to operate;;fell into the furnace much to our regret .
5;7;anglais;You;remember;what;the instructions ;that ;that showed how to operate;the submarine;fell into the furnace much to our regret .
5;8;anglais;You;remember;what;the instructions ;that ;that showed how to operate;;fell into the furnace much to our regret .
6;1;anglais;She;told me;that;an allergy ;;;;causes him to avoid dining out ever since he was young .
6;2;anglais;She;told me;that;;;;;causes him to avoid dining out ever since he was young .
6;3;anglais;She;told me;what;an allergy ;;;;causes him to avoid dining out ever since he was young .
6;4;anglais;She;told me;what;;;;;causes him to avoid dining out ever since he was young .
6;5;anglais;She;told me;that;an allergy ;that ;is caused by;peanuts;causes him to avoid dining out ever since he was young .
6;6;anglais;She;told me;that;an allergy ;that ;is caused by;;causes him to avoid dining out ever since he was young .
6;7;anglais;She;told me;what;an allergy ;that ;is caused by;peanuts;causes him to avoid dining out ever since he was young .
6;8;anglais;She;told me;what;an allergy ;that ;is caused by;;causes him to avoid dining out ever since he was young .
7;1;anglais;She;knows ;that ;the delivery ;;;;arrived around noon last Tuesday .
7;2;anglais;She;knows;that;;;;;arrived around noon last Tuesday .
7;3;anglais;She;knows;what;the delivery ;;;;arrived around noon last Tuesday .
7;4;anglais;She;knows;what;;;;;arrived around noon last Tuesday .
7;5;anglais;She;knows;that;the delivery ;that ;shocked;Sarah;arrived around noon last Tuesday .
7;6;anglais;She;knows;that;the delivery ;that ;shocked;;arrived around noon last Tuesday .
7;7;anglais;She;knows;who;the delivery ;that ;shocked;Sarah;arrived around noon last Tuesday .
7;8;anglais;She;knows;who;the delivery ;that ;shocked;;arrived around noon last Tuesday .
8;1;anglais;We all;remember;that;the package ;;;;got lost in the mail in the holiday rush .
8;2;anglais;We all;remember;that;;;;;got lost in the mail in the holiday rush .
8;3;anglais;We all;remember;what;the package ;;;;got lost in the mail in the holiday rush .
8;4;anglais;We all;remember;what;;;;;got lost in the mail in the holiday rush .
8;5;anglais;We all;remember;that;the package;that ;described to;Robert;got lost in the mail in the holiday rush .
8;6;anglais;We all;remember;that;the package;that ;described to;;got lost in the mail in the holiday rush .
8;7;anglais;We all;remember;who;the package;that ;described to;Robert;got lost in the mail in the holiday rush .
8;8;anglais;We all;remember;who;the package;that ;described to;;got lost in the mail in the holiday rush .
9;1;anglais;My friend;reported;that;the symphony ;;;;moved my mother to tears yesterday night .
9;2;anglais;My friend;reported;that;;;;;moved my mother to tears yesterday night .
9;3;anglais;My friend;reported;what;the symphony ;;;;moved my mother to tears yesterday night .
9;4;anglais;My friend;reported;what;;;;;moved my mother to tears yesterday night .
9;5;anglais;My friend;reported;that;the symphony ;that ;was dedicated to;Mozart;moved my mother to tears yesterday night .
9;6;anglais;My friend;reported;that;the symphony ;that ;was dedicated to;;moved my mother to tears yesterday night .
9;7;anglais;My friend;reported;who;the symphony ;that ;was dedicated to;Mozart;moved my mother to tears yesterday night .
9;8;anglais;My friend;reported;who;the symphony ;that ;was dedicated to;;moved my mother to tears yesterday night .
10;1;anglais;I;have an idea about;that;the play ;;;;upset me last night .
