numero;variable;langue;phrase;;;;;;;;;
1;1;anglais;I;know;that;your tears;signaled;an indication ;;;;last night .
1;2;anglais;I;know;that;your tears;signaled;;;;;last night .
1;3;anglais;I;know;what;your tears;signaled;an indication ;;;;last night .
1;4;anglais;I;know;what;your tears;signaled;;;;;last night .
1;5;anglais;I;know;that;your tears;signaled;an indication ;that;signaled ;depression ;last night .
1;6;anglais;I;know;that;your tears;signaled;an indication ;that;signaled ;;last night .
1;7;anglais;I;know;what;your tears;signaled;an indication ;that;signaled ;depression ;last night .
1;8;anglais;I;know;what;your tears;signaled;an indication ;that;signaled ;;last night .
2;1;anglais;I;remember;that;we all;pitched in to buy;the gift;;;;at the last minute .
2;2;anglais;I;remember;that;we all;pitched in to buy;;;;;at the last minute .
2;3;anglais;I;remember;what;we all;pitched in to buy;the gift;;;;at the last minute .
2;4;anglais;I;remember;what;we all;pitched in to buy;;;;;at the last minute .
2;5;anglais;I;remember;that;we all;pitched in to buy;the gift;which ;we bought;Mary;at the last minute .
2;6;anglais;I;remember;that;we all;pitched in to buy;the gift;which ;we bought;;at the last minute .
2;7;anglais;I;remember;who;we all;pitched in to buy;the gift;which ;we bought;Mary;at the last minute .
2;8;anglais;I;remember;who;we all;pitched in to buy;the gift;which ;we bought;;at the last minute .
3;1;anglais;The newspaper;reported;that;the critics;reviewed;the novel;;;;in the press .
3;2;anglais;The newspaper;reported;that;the critics;reviewed;;;;;in the press .
3;3;anglais;The newspaper;reported;what;the critics;reviewed;the novel;;;;in the press .
3;4;anglais;The newspaper;reported;what;the critics;reviewed;;;;;in the press .
3;5;anglais;The newspaper;reported;that;the critics;reviewed;the novel;which;provoked;the famous author ;in the press .
3;6;anglais;The newspaper;reported;that;the critics;reviewed;the novel;which;provoked;;in the press .
3;7;anglais;The newspaper;reported;who;the critics;reviewed;the novel;which;provoked;the famous author;in the press .
3;8;anglais;The newspaper;reported;who;the critics;reviewed;the novel;which;provoked;;in the press .
4;1;anglais;I;know;that;the family;bought;the painting ;;;;sometime last year .
4;2;anglais;I;know;that;the family;bought;;;;;sometime last year .
4;3;anglais;I;know;what;the family;bought;the painting;;;;sometime last year .
4;4;anglais;I;know;what;the family;bought;;;;;sometime last year .
4;5;anglais;I;know;that;the family;bought;the painting ;which;depicted ;Monet;sometime last year .
4;6;anglais;I;know;that;the family;bought;the painting ;which;depicted ;;sometime last year .
4;7;anglais;I;know;who;the family;bought;the painting ;which;depicted ;Monet;sometime last year .
4;8;anglais;I;know;who;the family;bought;the painting ;which;depicted ;;sometime last year .
5;1;anglais;You;remember;that;the spy;sold;the instructions ;;;;much to our regret .
5;2;anglais;You;remember;that;the spy;sold;;;;;much to our regret .
5;3;anglais;You;remember;what;the spy;sold;the instructions ;;;;much to our regret .
5;4;anglais;You;remember;what;the spy;sold;;;;;much to our regret .
5;5;anglais;You;remember;that;the spy;sold;the instructions ;which;showed how to operate ;the submarine;much to our regret .
5;6;anglais;You;remember;that;the spy;sold;the instructions ;which;showed how to operate ;;much to our regret .
5;7;anglais;You;remember;what;the spy;sold;the instructions ;which;showed how to operate ;the submarine;much to our regret .
5;8;anglais;You;remember;what;the spy;sold;the instructions ;which;showed how to operate ;;much to our regret .
6;1;anglais;She;told me;that;he;has had;an allergy ;;;;ever since he was young .
6;2;anglais;She;told me;that;he;has had;;;;;ever since he was young .
6;3;anglais;She;told me;what;he;has had;an allergy ;;;;ever since he was young .
6;4;anglais;She;told me;what;he;has had;;;;;ever since he was young .
6;5;anglais;She;told me;that;he;has had;an allergy ;which; is caused by;peanuts;ever since he was young .
6;6;anglais;She;told me;that;he;has had;an allergy ;which; is caused by;;ever since he was young .
6;7;anglais;She;told me;what;he;has had;an allergy ;which; is caused by;peanuts;ever since he was young .
6;8;anglais;She;told me;what;he;has had;an allergy ;which; is caused by;;ever since he was young .
7;1;anglais;She;knows;that;the doorman;accepted;the delivery;;;;last Tuesday .
7;2;anglais;She;knows;that;the doorman;accepted;;;;;last Tuesday .
7;3;anglais;She;knows;what;the doorman;accepted;the delivery;;;;last Tuesday .
7;4;anglais;She;knows;what;the doorman;accepted;;;;;last Tuesday .
7;5;anglais;She;knows;that;the doorman;accepted;the delivery;which;shocked;Sarah;last Tuesday .
7;6;anglais;She;knows;that;the doorman;accepted;the delivery;which;shocked;;last Tuesday .
7;7;anglais;She;knows;who;the doorman;accepted;the delivery;which;shocked;Sarah;last Tuesday .
7;8;anglais;She;knows;who;the doorman;accepted;the delivery;which;shocked;;last Tuesday .
8;1;anglais;We all;remember;that;the mailman;lost;the package ;;;;in the holiday rush .
8;2;anglais;We all;remember;that;the mailman;lost;;;;;in the holiday rush .
8;3;anglais;We all;remember;what;the mailman;lost;the package ;;;;in the holiday rush .
8;4;anglais;We all;remember;what;the mailman;lost;;;;;in the holiday rush .
8;5;anglais;We all;remember;that;the mailman;lost;the package ;which;Sarah described to;Robert;in the holiday rush .
8;6;anglais;We all;remember;that;the mailman;lost;the package ;which;Sarah described to;;in the holiday rush .
8;7;anglais;We all;remember;who;the mailman;lost;the package ;which;Sarah described to;Robert;in the holiday rush .
8;8;anglais;We all;remember;who;the mailman;lost;the package ;which;Sarah described to;;in the holiday rush .
9;1;anglais;My friend;reported;that;we;listened to;the symphony ;;;;yesterday night .
9;2;anglais;My friend;reported;that;we;listened to;;;;;yesterday night .
9;3;anglais;My friend;reported;what;we;listened to;the symphony ;;;;yesterday night .
